N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,L
2,1,0,0,L,C,L
3,0,0,1,R,B,L
4,1,0,0,L,A,R
5,0,1,0,L,B,R
6,0,0,1,R,C,L
7,0,1,0,R,A,R
8,1,0,0,L,C,R
9,0,0,1,R,B,L
10,1,0,0,L,A,R
11,0,1,0,L,B,L
12,0,0,1,R,C,R
13,0,1,0,R,A,R
14,0,0,1,R,C,L
15,1,0,0,L,A,L
16,0,0,1,R,B,L
17,0,1,0,R,A,L
18,1,0,0,L,C,R
19,0,0,1,R,B,R
20,1,0,0,L,A,R
21,0,1,0,L,B,L
22,0,0,1,R,C,L
23,1,0,0,L,A,L
24,0,0,1,R,B,R
25,0,1,0,R,A,R
26,1,0,0,L,C,R
27,0,0,1,R,B,L
28,0,1,0,R,A,R
29,1,0,0,L,C,L
30,0,0,1,R,B,R
31,0,1,0,R,A,L
32,0,0,1,R,C,R
33,1,0,0,L,A,L
34,0,0,1,R,B,R
35,0,1,0,R,A,L
36,1,0,0,L,C,L
37,0,0,1,R,B,R
38,0,1,0,R,A,R
39,1,0,0,L,C,R
