N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,0,0,1,R,C,R
3,1,0,0,L,A,L
4,0,0,1,R,B,R
5,0,1,0,R,A,L
6,0,0,1,R,C,L
7,0,1,0,R,A,R
8,0,0,1,R,C,R
9,1,0,0,L,A,L
10,0,1,0,L,B,L
11,0,0,1,R,C,L
12,1,0,0,L,A,L
13,0,0,1,R,B,R
14,0,1,0,R,A,L
15,0,0,1,R,C,R
16,1,0,0,L,A,L
17,0,1,0,L,B,L
18,0,0,1,R,C,L
19,1,0,0,L,A,L
20,0,1,0,L,B,L
21,0,0,1,R,C,R
22,0,1,0,R,A,R
23,1,0,0,L,C,L
24,0,1,0,L,B,L
25,0,0,1,R,C,R
26,1,0,0,L,A,L
27,0,0,1,R,B,R
28,0,1,0,R,A,R
29,1,0,0,L,C,L
30,0,1,0,L,B,L
31,0,0,1,R,C,R
32,0,1,0,R,A,R
33,0,0,1,R,C,L
34,0,1,0,R,A,R
35,0,0,1,R,C,R
36,0,1,0,R,A,R
37,1,0,0,L,C,R
38,0,0,1,R,B,L
39,0,1,0,R,A,R
