N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,L
1,0,1,0,R,A,R
2,0,0,1,R,C,R
3,0,1,0,R,A,R
4,1,0,0,L,C,L
5,0,0,1,R,B,R
6,0,1,0,R,A,L
7,0,0,1,R,C,R
8,0,1,0,R,A,L
9,0,0,1,R,C,R
10,1,0,0,L,A,R
11,0,1,0,L,B,R
12,0,0,1,R,C,L
13,0,1,0,R,A,L
14,0,0,1,R,C,R
15,1,0,0,L,A,L
16,0,0,1,R,B,L
17,0,1,0,R,A,R
18,0,0,1,R,C,L
19,0,1,0,R,A,R
20,1,0,0,L,C,R
21,0,0,1,R,B,L
22,0,1,0,R,A,R
23,1,0,0,L,C,L
24,0,0,1,R,B,R
25,0,1,0,R,A,L
26,0,0,1,R,C,L
27,0,1,0,R,A,R
28,0,0,1,R,C,L
29,0,1,0,R,A,R
30,0,0,1,R,C,L
31,0,1,0,R,A,L
32,1,0,0,L,C,R
33,0,0,1,R,B,R
34,0,1,0,R,A,L
35,0,0,1,R,C,L
36,0,1,0,R,A,L
37,1,0,0,L,C,R
38,0,0,1,R,B,R
39,0,1,0,R,A,L
