N,T1,T2,T3,T4,LR,M,E
0,1,0,0,0,L,A,1
1,1,0,0,0,L,A,0
2,1,0,0,0,L,A,0
3,0,0,1,0,L,C,1
4,0,0,1,0,L,C,1
5,0,0,1,0,R,B,0
6,0,1,0,0,L,B,0
7,1,0,0,0,L,A,1
8,0,0,0,1,R,C,0
9,0,0,1,0,L,C,1
10,1,0,0,0,L,A,0
11,0,0,1,0,R,B,1
12,1,0,0,0,L,A,1
13,0,0,1,0,R,B,0
14,0,0,1,0,L,C,0
15,0,0,1,0,L,C,0
16,0,1,0,0,L,B,1
17,0,0,1,0,R,B,0
18,0,0,1,0,R,B,1
19,0,0,1,0,L,C,0
20,0,0,1,0,L,C,1
21,1,0,0,0,L,A,0
22,0,0,1,0,L,C,0
23,1,0,0,0,L,A,1
24,0,1,0,0,L,B,1
25,1,0,0,0,L,A,1
26,0,1,0,0,L,B,0
27,0,1,0,0,L,B,1
28,1,0,0,0,L,A,0
29,0,0,1,0,L,C,1
