N,T1,T2,T3,LR,M,PL
0,1,0,0,L,C,R
1,0,1,0,L,B,L
2,1,0,0,L,C,L
3,0,0,1,R,B,R
4,0,1,0,R,A,R
5,0,0,1,R,C,R
6,1,0,0,L,A,R
7,0,0,1,R,B,L
8,1,0,0,L,A,L
9,0,0,1,R,B,R
10,1,0,0,L,A,L
11,0,1,0,L,B,L
12,0,0,1,R,C,R
13,1,0,0,L,A,L
14,0,1,0,L,B,R
15,0,0,1,R,C,L
16,1,0,0,L,A,L
17,0,1,0,L,B,R
18,0,0,1,R,C,L
19,1,0,0,L,A,R
20,0,0,1,R,B,R
21,0,1,0,R,A,R
22,1,0,0,L,C,L
23,0,0,1,R,B,L
24,0,1,0,R,A,L
25,0,0,1,R,C,R
26,0,1,0,R,A,R
27,1,0,0,L,C,R
28,0,1,0,L,B,L
29,0,0,1,R,C,R
30,0,1,0,R,A,R
31,0,0,1,R,C,L
32,1,0,0,L,A,R
33,0,0,1,R,B,R
34,0,1,0,R,A,L
35,0,0,1,R,C,L
36,1,0,0,L,A,L
37,0,0,1,R,B,L
38,0,1,0,R,A,L
39,1,0,0,L,C,R
