N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,0,0,1,R,C,R
3,1,0,0,L,A,R
4,0,1,0,L,B,R
5,0,0,1,R,C,R
6,1,0,0,L,A,R
7,0,0,1,R,B,R
8,0,1,0,R,A,R
9,1,0,0,L,C,R
10,0,1,0,L,B,R
11,0,0,1,R,C,R
12,1,0,0,L,A,R
13,0,0,1,R,B,R
14,0,1,0,R,A,R
15,1,0,0,L,C,R
16,0,0,1,R,B,R
17,0,1,0,R,A,R
18,1,0,0,L,C,R
19,0,0,1,R,B,R
