N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,R
2,1,0,0,L,C,R
3,0,1,0,L,B,L
4,0,0,1,R,C,L
5,1,0,0,L,A,R
6,0,1,0,L,B,L
7,1,0,0,L,C,L
8,0,1,0,L,B,L
9,0,0,1,R,C,L
10,1,0,0,L,A,L
11,0,1,0,L,B,R
12,0,0,1,R,C,R
13,1,0,0,L,A,L
14,0,1,0,L,B,R
15,1,0,0,L,C,L
16,0,0,1,R,B,L
17,1,0,0,L,A,L
18,0,1,0,L,B,L
19,0,0,1,R,C,L
20,1,0,0,L,A,L
21,0,1,0,L,B,L
22,1,0,0,L,C,R
23,0,0,1,R,B,R
24,0,1,0,R,A,R
25,1,0,0,L,C,R
26,0,0,1,R,B,R
27,0,1,0,R,A,R
28,1,0,0,L,C,L
29,0,1,0,L,B,R
30,0,0,1,R,C,R
31,1,0,0,L,A,L
32,0,1,0,L,B,L
33,0,0,1,R,C,R
34,0,1,0,R,A,R
35,1,0,0,L,C,L
36,0,0,1,R,B,R
37,0,1,0,R,A,R
38,0,0,1,R,C,R
39,1,0,0,L,A,L
