N,T1,T2,T3,LR,M,PL
0,0,0,1,R,C,R
1,0,1,0,R,A,L
2,0,0,1,R,C,R
3,1,0,0,L,A,L
4,0,1,0,L,B,R
5,0,0,1,R,C,R
6,0,1,0,R,A,L
7,0,0,1,R,C,R
8,0,1,0,R,A,L
9,1,0,0,L,C,R
10,0,0,1,R,B,L
11,0,1,0,R,A,R
12,0,0,1,R,C,L
13,1,0,0,L,A,L
14,0,1,0,L,B,R
15,0,0,1,R,C,L
16,1,0,0,L,A,R
17,0,1,0,L,B,R
18,0,0,1,R,C,R
19,0,1,0,R,A,L
20,0,0,1,R,C,L
21,1,0,0,L,A,L
22,0,1,0,L,B,R
23,0,0,1,R,C,L
24,1,0,0,L,A,L
25,0,1,0,L,B,L
26,1,0,0,L,C,L
27,0,0,1,R,B,R
28,1,0,0,L,A,L
29,0,0,1,R,B,L
30,0,1,0,R,A,L
31,1,0,0,L,C,L
32,0,0,1,R,B,R
33,0,1,0,R,A,R
34,1,0,0,L,C,R
35,0,0,1,R,B,R
36,1,0,0,L,A,R
37,0,0,1,R,B,R
38,1,0,0,L,A,L
39,0,1,0,L,B,R
